Gender,Race,Residence,Income,School Type,Hooks,Major,Rank%,SAT,ACT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections
M,WHITE,CA,Low,PUBLIC,NONE,BIO,3,1540,35,7.5,7.3,"['*UCLA', '*STANFORD', '*MIT', '*UCSB', '*UCD']",['*TULANE'],[]
M,ASIAN,INTERNATIONAL,Low,-1,NONE,CS,-1,1510,15,7.5,6.2,['*UPENN'],[],[]
M,ASIAN,-1,MISSING,PUBLIC,NONE,POLISCI,15,-1,35,5.5,2.5,['*NORTHWESTERN'],['*UCHICAGO'],"['*NYU', '*BOSTON UNIVERSITY', '*WASHU', '*NORTHEASTERN', '*COLGATE', '*TUFTS']"
NB,ASIAN,MA,Low,-1,NONE,CS,-1,-1,35,5.5,6.5,[],[],[]
F,WHITE,MI,Low,-1,FIRST-GEN,HUMANITIES,-1,-1,31,2,0.0,"['*FORDHAM', '*TULANE']",[],['*UNC CHAPEL HILL']
F,WHITE,CA,Low,PUBLIC,OTHER,CS,1,1490,35,7.5,4.5,"['*MIT', '*JOHNS HOPKINS', '*WASHU']",[],['*CALTECH']
F,WHITE,UT,High,PUBLIC,NONE,ENG,25,-1,27,"{'extracurriculars': 3, 'awards': 3}",6.5,"['*BERKELEY', '*UCSD', '*NYU']",[],[]
M,BLACK,PA,Low,PRIVATE,URM,BIO,-1,1520,-1,5.5,4.5,"['*CMU', '*TUFTS']",['*HARVARD'],"['*HARVARD', '*BROWN', '*CORNELL', '*JOHNS HOPKINS', '*DARTMOUTH', '*UPENN']"
F,WHITE,FL,Low,PRIVATE,OTHER,BIO,-1,-1,35,5.5,5.7,['*BOSTON UNIVERSITY'],[],"['*UMICH', '*TUFTS']"
M,WHITE,OR,Low,-1,OTHER,ENVIRONMENTAL STUDIES,-1,-1,35,6.5,1.0,['*NYU'],[],[]
F,WHITE,MO,Middle,PUBLIC,NONE,POLISCI,10,-1,35,5.5,4.5,['*UVA'],[],['*UCHICAGO']
M,BLACK,-1,Low,PUBLIC,URM,CS,-1,-1,-1,"{'extracurriculars/activities': 3, 'awards/honors': 3.5}",4.2,[],[],"['*UCLA', '*YALE', '*STANFORD', '*BERKELEY', '*UCSD', '*UCI']"
M,WHITE,TN,Middle,SMALL,NONE,BIO,25,-1,35,6.5,5.7,['*CORNELL'],"['*DARTMOUTH', '*EMORY']","['*DUKE', '*JOHNS HOPKINS', '*DARTMOUTH', '*WASHU', '*UCHICAGO']"
F,BLACK,CA,Low,PRIVATE,URM,CS,-1,1320,-1,5,5.7,['*UPENN'],[],['*NYU']
M,ASIAN,WA,Low,-1,NONE,CS,-1,1570,15,4.5,1.5,"['*NYU', '*NORTHEASTERN']",[],['*CLAREMONT MCKENNA']
F,WHITE,NY,Low,-1,URM,MEDIA STUDIES,-1,1240,12,4.5,2.0,['*UPENN'],[],"['*CMU', '*UPENN', '*UMICH', '*USC', '*BOSTON UNIVERSITY', '*NORTHEASTERN']"
M,ASIAN,GA,High,-1,NONE,CS,-1,1480,-1,5,4.5,[],[],"['*HARVARD', '*COLUMBIA', '*DARTMOUTH', '*NYU', '*NORTHEASTERN']"
F,ASIAN,CA,High,PUBLIC,OTHER,BIO,10,1430,35,5.5,4.2,"['*UCSD', '*UCR', '*UCI']",[],"['*UCLA', '*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*JOHNS HOPKINS', '*POMONA', '*UPENN', '*UMICH', '*UCD', '*HARVEY MUDD']"
F,WHITE,WA,Low,-1,OTHER,CS,10,-1,-1,2,1.0,[],[],['*STANFORD']
F,BLACK,IL,High,PRIVATE,OTHER,BIO,-1,-1,29,1,4.5,"['*UMICH', '*NORTHEASTERN', '*UNC CHAPEL HILL']",['*EMORY'],[]
M,ASIAN,NE,Low,PRIVATE,URM,CS,-1,-1,33,5.5,7.5,['*RUTGERS'],"['*MIT', '*NORTHEASTERN']","['*CORNELL', '*CMU', '*NYU', '*UPENN', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*TUFTS']"
M,ASIAN,NC,Low,PUBLIC,NONE,POLISCI,10,-1,33,6.5,4.5,['*UNC CHAPEL HILL'],[],['*YALE']
F,ASIAN,CA,Low,-1,NONE,CS,-1,1570,-1,8.5,4.5,"['*PURDUE', '*POMONA', '*NYU', '*UMICH', '*UCSB', '*UCD', '*UCSC', '*UCR', '*UIUC', '*RUTGERS', '*San Jose State University']","['*UCSD', '*GEORGIA TECH', '*UCHICAGO', '*UCI']","['*UCLA', '*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*CMU', '*RICE', '*UPENN', '*UT-AUSTIN']"
F,WHITE,MA,Low,PUBLIC,LEGACY,BUSINESS,50,-1,31,5.5,4.5,"['*CASE WESTERN', '*FORDHAM', '*NORTHEASTERN', '*TULANE']",[],['*UVA']
M,OTHER,CA,Low,PUBLIC,NONE,CS,-1,1540,-1,8.5,4.7,"['*UCLA', '*CORNELL', '*BERKELEY', '*USC', '*UCI']","['*HARVARD', '*BROWN', '*DARTMOUTH', '*VANDERBILT', '*NYU', '*UCHICAGO']","['*YALE', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*UPENN']"
M,WHITE,TN,High,SMALL,NONE,BIO,-1,-1,34,1,4.2,[],[],[]
M,ASIAN,IN,Low,PUBLIC,NONE,ENG,3,-1,10,6.5,8.3,"['*YALE', '*BROWN', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*JOHNS HOPKINS', '*DARTMOUTH', '*UPENN', '*UMICH', '*VIRGINIA TECH', '*UVA']",[],"['*STANFORD', '*NORTHWESTERN', '*POMONA']"
F,ASIAN,IL,High,PRIVATE,FIRST-GEN,PSYCH,21,-1,31,4.5,6.8,"['*CASE WESTERN', '*BOSTON UNIVERSITY']","['*POMONA', '*EMORY']","['*RICE', '*VANDERBILT', '*USC', '*WASHU', '*COLGATE']"
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,5,1570,-1,3.5,6.5,[],['*TULANE'],"['*YALE', '*BROWN', '*JOHNS HOPKINS', '*SWARTHMORE', '*UPENN']"
F,BLACK,IN,Low,PRIVATE,MISSING,CS,-1,1420,-1,6.5,7.5,"['*BROWN', '*JOHNS HOPKINS', '*BOSTON UNIVERSITY', '*FORDHAM']",[],"['*HARVARD', '*YALE', '*NORTHWESTERN', '*JOHNS HOPKINS', '*NYU', '*UPENN', '*TUFTS']"
F,WHITE,MI,High,PUBLIC,NONE,BIO,-1,1430,35,3.5,4.5,['*UCD'],"['*CASE WESTERN', '*TULANE']","['*UCSD', '*RICE', '*UCSB']"
F,HISPANIC,OTHER,High,PUBLIC,FIRST-GEN,CS,-1,-1,-1,5.5,7.8,['*PURDUE'],[],"['*NYU', '*NORTHEASTERN']"
M,WHITE,OH,Low,PUBLIC,FIRST-GEN,CS,-1,-1,35,5.5,6.8,['*NORTHWESTERN'],[],[]
F,WHITE,PA,High,PUBLIC,FIRST-GEN,CS,-1,-1,-1,5,2.5,['*UPENN'],[],['*EMORY']
F,ASIAN,MA,Low,-1,NONE,INTERNATIONAL RELATIONS,-1,-1,34,2.5,4.5,['*FORDHAM'],[],[]
F,BLACK,MO,Low,PUBLIC,URM,CS,-1,1420,-1,6.5,7.5,"['*RICE', '*EMORY', '*USC', '*TUFTS']","['*NORTHWESTERN', '*WILLIAMS', '*COLGATE']","['*BROWN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*DARTMOUTH', '*POMONA']"
F,MIXED,NV,Low,PUBLIC,URM,CS,23,-1,-1,6.5,4.5,['*UCHICAGO'],[],"['*BROWN', '*NORTHWESTERN', '*PRINCETON', '*VANDERBILT', '*EMORY']"
F,WHITE,MI,High,PUBLIC,OTHER,BUSINESS,-1,1190,26,1,4.5,['*USC'],[],[]
M,ASIAN,OR,High,PUBLIC,NONE,BIO,-1,1410,-1,5.5,7.5,"['*MIT', '*UPENN']",[],"['*HARVARD', '*GEORGIA TECH', '*SWARTHMORE', '*COLGATE', '*TULANE', '*UVA']"
M,ASIAN,OTHER,Middle,PUBLIC,NONE,CS,-1,1330,33,2.5,5.7,"['*PURDUE', '*UIUC', '*RUTGERS', '*VIRGINIA TECH', '*NORTHEASTERN', '*UVA']",['*UMICH'],"['*CORNELL', '*GEORGIA TECH', '*NYU']"
F,HISPANIC,CA,High,PUBLIC,MISSING,NEUROSCIENCE,6,1380,30,7.5,6.5,"['*USC', '*HARVEY MUDD']",[],['*DUKE']
F,ASIAN,CA,High,PUBLIC,NONE,CS,-1,-1,35,8.5,7.5,"['*BERKELEY', '*UMICH', '*UIUC', '*CLAREMONT MCKENNA']",[],"['*GEORGIA TECH', '*UT-AUSTIN']"
F,WHITE,IL,High,PUBLIC,NONE,CS,-1,-1,35,8.5,6.2,"['*UCLA', '*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*BERKELEY', '*DUKE', '*PRINCETON', '*UCSD', '*MIT', '*RICE', '*VANDERBILT', '*UPENN', '*USC', '*UT-AUSTIN', '*ARIZONA STATE']",[],"['*UCLA', '*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*MIT', '*VANDERBILT', '*UPENN', '*USC', '*UT-AUSTIN', '*UCHICAGO']"
F,ASIAN,NY,High,PUBLIC,NONE,HISTORY,1,1590,-1,6.5,8.1,"['*CORNELL', '*NYU', '*EMORY', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*UNC CHAPEL HILL', '*UVA']",[],"['*HARVARD', '*YALE', '*COLUMBIA']"
M,ASIAN,MI,High,PUBLIC,LEGACY,ENG,-1,-1,34,6.5,8.5,"['*PURDUE', '*UIUC', '*VIRGINIA TECH', '*UVA']",[],"['*CORNELL', '*PURDUE', '*UMICH', '*UIUC', '*UT-AUSTIN', '*VIRGINIA TECH', '*UVA', '*ARIZONA STATE']"
M,ASIAN,TX,Low,-1,NONE,-1,-1,-1,-1,6.5,7.5,"['*PURDUE', '*UIUC', '*UT-AUSTIN', '*FORDHAM', '*TAMU']",[],"['*UCLA', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*DARTMOUTH', '*CMU', '*VANDERBILT', '*NYU', '*USC', '*WASHU']"
F,ASIAN,NY,Low,PUBLIC,OTHER,CS,-1,1600,-1,6.5,7.5,"['*UMICH', '*CASE WESTERN', '*UCHICAGO', '*ARIZONA STATE']",[],"['*HARVARD', '*YALE', '*BROWN', '*NORTHWESTERN', '*CORNELL', '*PRINCETON', '*JOHNS HOPKINS', '*SWARTHMORE', '*RICE', '*POMONA', '*NYU', '*UPENN', '*EMORY', '*BOSTON UNIVERSITY']"
F,WHITE,CO,Low,-1,OTHER,SOCIAL SCIENCES,-1,-1,33,3,2.5,['*UPENN'],[],[]
M,BLACK,OH,Low,PUBLIC,NONE,ENG,25,-1,-1,1,5.5,"['*PURDUE', '*UPENN']",['*UMICH'],[]
M,ARAB,IL,Low,-1,FIRST-GEN,BIO,-1,-1,-1,1,9.7,['*USC'],"['*UMICH', '*CASE WESTERN', '*NORTHEASTERN']","['*NORTHWESTERN', '*VANDERBILT', '*EMORY', '*BOSTON UNIVERSITY', '*WASHU', '*NORTHEASTERN', '*TULANE']"
M,HISPANIC,GA,Low,-1,URM,CS,-1,-1,-1,6.5,6.5,"['*MIT', '*GEORGIA TECH', '*UPENN', '*UMICH']",[],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*BERKELEY', '*DUKE', '*PRINCETON', '*CMU', '*UPENN']"
F,WHITE,MA,Low,PUBLIC,NONE,ENG,-1,-1,36,2.5,4.5,"['*PURDUE', '*UMICH']",[],"['*UCLA', '*STANFORD', '*NORTHWESTERN', '*BERKELEY', '*GEORGIA TECH']"
F,WHITE,MI,Low,SMALL,MISSING,PREMED,5,-1,30,5,3.7,"['*NORTHWESTERN', '*COLUMBIA']",['*NORTHWESTERN'],"['*BROWN', '*STANFORD', '*WASHU']"
M,ASIAN,MI,High,PUBLIC,NONE,-1,-1,1530,-1,7.5,4.5,['*CORNELL'],[],[]
M,WHITE,CA,Low,PUBLIC,OTHER,CS,-1,1460,-1,3.5,2.5,"['*UCD', '*ARIZONA STATE']","['*UCSC', '*UIUC']","['*UCLA', '*BERKELEY', '*UCSD', '*CALTECH', '*UCSB', '*UCI']"
M,ASIAN,INTERNATIONAL,High,PRIVATE,NONE,CS,5,1570,-1,4.5,3.7,[],"['*NORTHWESTERN', '*CMU']",['*CMU']
F,ASIAN,IN,High,PRIVATE,LGBT,BUSINESS,-1,-1,-1,6.5,7.5,[],['*NORTHEASTERN'],"['*NORTHWESTERN', '*NYU', '*USC', '*TULANE']"
M,ASIAN,IL,OTHER,PRIVATE,LEGACY,BUSINESS,-1,-1,30,4,2.5,"['*MIT', '*UMICH']",[],[]
M,WHITE,CA,Low,PRIVATE,OTHER,CS,-1,-1,-1,6.5,3.5,"['*PURDUE', '*UCD', '*ARIZONA STATE']",[],"['*UCLA', '*UCSD', '*MIT', '*NYU', '*EMORY', '*UCSB', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*HARVEY MUDD']"
F,OTHER,FL,Low,PUBLIC,FIRST-GEN,LAW,8,-1,27,3.5,2.5,[],[],[]
F,BLACK,OH,High,-1,MISSING,BIO,12,-1,32,8.5,6.5,['*PURDUE'],[],[]
M,ASIAN,IL,Low,PUBLIC,NONE,ENG,5,1400,-1,5,4.5,"['*PURDUE', '*UPENN', '*UIUC', '*VIRGINIA TECH', '*UVA']",[],[]
F,BLACK,TN,High,PRIVATE,URM,CS,-1,-1,32,6.5,4.5,"['*VIRGINIA TECH', '*NORTHEASTERN', '*UVA', '*ARIZONA STATE']",['*UIUC'],"['*BROWN', '*STANFORD', '*COLUMBIA', '*GEORGIA TECH', '*CMU', '*VANDERBILT', '*NYU']"
F,ASIAN,IL,Low,PUBLIC,NONE,MUSIC,-1,-1,-1,5.5,7.2,['*UIUC'],[],[]
M,ASIAN,OR,Low,PUBLIC,FIRST-GEN,CS,1,1530,35,3.5,3.7,"['*HARVARD', '*YALE', '*STANFORD', '*COLUMBIA', '*PRINCETON', '*MIT', '*CALTECH', '*JOHNS HOPKINS', '*NORTHEASTERN']",['*CASE WESTERN'],['*NORTHWESTERN']
NB,WHITE,CA,High,CHARTER,OTHER,HISTORY,11,-1,-1,3.5,3.5,"['*UCSD', '*POMONA', '*UCSB', '*UCI']",['*UCLA'],['*UCLA']
M,WHITE,IL,High,PRIVATE,OTHER,ENG,-1,-1,34,3.5,6.8,['*UCSB'],['*NORTHEASTERN'],"['*UCLA', '*STANFORD', '*BERKELEY', '*UCSD']"
F,WHITE,GA,Low,PUBLIC,FIRST-GEN,PSYCH,13,-1,33,7.5,3.7,[],"['*CORNELL', '*UNC CHAPEL HILL']","['*HARVARD', '*YALE', '*BROWN', '*PRINCETON', '*RICE', '*POMONA', '*VANDERBILT', '*UPENN', '*CASE WESTERN', '*COLGATE']"
F,HISPANIC,OTHER,High,PRIVATE,URM,BIO,-1,-1,31,2.5,7.5,"['*CORNELL', '*UPENN', '*BOSTON COLLEGE', '*TULANE']",[],"['*UMICH', '*BOSTON UNIVERSITY', '*NORTHEASTERN']"
F,BLACK,NY,Low,PUBLIC,URM,ENG,25,1390,-1,5.5,4.2,['*FORDHAM'],['*NORTHEASTERN'],"['*POMONA', '*NYU', '*USC', '*TUFTS']"
F,ASIAN,CA,Low,CHARTER,FIRST-GEN,LAW,5,-1,31,1,2.5,"['*UCLA', '*UCR', '*UCI']",[],"['*UCLA', '*USC', '*CLAREMONT MCKENNA']"
F,ASIAN,MI,High,PRIVATE,MISSING,ENG,-1,-1,-1,5.5,4.5,"['*RUTGERS', '*ARIZONA STATE']","['*GEORGIA TECH', '*UMICH', '*VIRGINIA TECH', '*UVA']","['*HARVARD', '*CORNELL', '*MIT', '*GEORGIA TECH']"
F,ASIAN,OTHER,High,PUBLIC,NONE,NEUROSCIENCE,20,-1,32,6.5,4.5,"['*UPENN', '*NORTHEASTERN']",[],"['*UCLA', '*STANFORD', '*JOHNS HOPKINS', '*CASE WESTERN']"
M,WHITE,INTERNATIONAL,Low,PRIVATE,FIRST-GEN,CS,16,1540,-1,6.5,7.2,[],[],"['*HARVARD', '*NORTHWESTERN', '*CORNELL']"
M,WHITE,CA,High,PUBLIC,OTHER,-1,-1,1470,-1,6.5,7.5,"['*UCLA', '*UCSB', '*BOSTON COLLEGE', '*NORTHEASTERN', '*UCI']","['*WASHU', '*CLAREMONT MCKENNA']","['*HARVARD', '*BROWN', '*STANFORD', '*BERKELEY', '*POMONA']"
F,WHITE,OTHER,Low,PUBLIC,FIRST-GEN,MEDIA STUDIES,-1,1420,-1,5,6.5,"['*UPENN', '*FORDHAM']",['*NYU'],['*COLUMBIA']
M,BLACK,MI,Low,PUBLIC,URM,CS,-1,-1,34,5.5,6.5,"['*CMU', '*VIRGINIA TECH', '*UVA']",[],['*STANFORD']
M,BLACK,GA,High,PUBLIC,URM,BUSINESS,5,1380,-1,2.5,5.5,[],['*GEORGIA TECH'],"['*HARVARD', '*COLUMBIA', '*UPENN']"
M,ASIAN,IL,Low,-1,NONE,PSYCH,-1,1470,33,6.5,3.5,[],"['*GEORGIA TECH', '*NORTHEASTERN', '*UCI']","['*UCLA', '*NORTHWESTERN', '*VANDERBILT', '*UCSC']"
F,WHITE,CA,High,-1,URM,BIO,-1,1080,-1,3.5,1.5,"['*UCLA', '*UCSD', '*UCSB', '*UCR', '*UCI']",[],[]
F,ASIAN,CA,Low,PUBLIC,URM,LAW,-1,-1,-1,6.5,3.5,"['*UCSD', '*NYU', '*UCSB', '*UCD', '*UCI']","['*UCLA', '*BOSTON COLLEGE']","['*COLUMBIA', '*CORNELL', '*BERKELEY', '*NORTHEASTERN', '*TUFTS']"
M,ASIAN,OH,OTHER,PUBLIC,NONE,-1,20,1490,33,6.5,0.0,"['*UCSD', '*PURDUE', '*UPENN', '*CASE WESTERN']",[],"['*NYU', '*EMORY', '*CASE WESTERN']"
F,WHITE,OR,Low,SMALL,FIRST-GEN,DESIGN,-1,1410,-1,2,4.5,['*UPENN'],"['*VIRGINIA TECH', '*UVA']","['*GEORGIA TECH', '*NORTHEASTERN']"
F,WHITE,CA,Low,-1,OTHER,ENVIRONMENTAL STUDIES,-1,1350,-1,4.5,2.0,['*UCI'],[],['*UCLA']
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,-1,1560,35,6.5,2.5,"['*CMU', '*PURDUE', '*UCSB', '*UCD', '*UIUC']","['*UCSD', '*NYU', '*UCHICAGO', '*UCI']","['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*BERKELEY', '*DUKE', '*PRINCETON', '*MIT', '*CALTECH', '*CMU', '*UPENN', '*USC']"
M,ASIAN,WA,Low,-1,LEGACY,ENG,-1,1380,-1,5.5,4.5,"['*UCD', '*UCI']",['*BERKELEY'],['*UCLA']
F,ASIAN,CO,High,CHARTER,NONE,-1,-1,1500,-1,6.5,6.5,['*CASE WESTERN'],"['*DARTMOUTH', '*EMORY', '*BOSTON COLLEGE']","['*BROWN', '*NORTHWESTERN', '*CORNELL', '*DUKE', '*JOHNS HOPKINS', '*VANDERBILT', '*NORTHEASTERN']"
F,ASIAN,-1,Low,-1,OTHER,-1,-1,-1,-1,8.5,7.5,"['*UCLA', '*San Jose State University']",['*UCI'],[]
M,HISPANIC,CA,Low,PUBLIC,URM,-1,-1,1330,-1,5.5,6.8,"['*UCLA', '*STANFORD', '*BERKELEY', '*CALTECH']","['*HARVARD', '*MIT']",['*COLUMBIA']
M,BLACK,CO,High,PUBLIC,URM,PREMED,5,1370,32,6.5,3.5,"['*NORTHWESTERN', '*CORNELL', '*VANDERBILT', '*EMORY', '*CASE WESTERN', '*USC']","['*DUKE', '*JOHNS HOPKINS', '*UPENN']","['*YALE', '*UPENN']"
F,ASIAN,CA,Low,-1,MISSING,CS,-1,-1,36,6.5,1.0,"['*UCLA', '*UCSD', '*MIT', '*USC', '*UCSB']","['*CASE WESTERN', '*BOSTON COLLEGE', '*WASHU', '*NORTHEASTERN', '*CLAREMONT MCKENNA']","['*HARVARD', '*YALE', '*STANFORD', '*BERKELEY', '*UPENN']"
M,ASIAN,SUBURBAN,High,PUBLIC,FIRST-GEN,CHEMISTRY,-1,1300,30,6,7.5,"['*UMICH', '*UCD', '*FORDHAM', '*UCI']","['*UCLA', '*UCSD']","['*BROWN', '*WILLIAMS', '*USC', '*BOSTON UNIVERSITY']"
F,ASIAN,OR,High,-1,FIRST-GEN,ENG,1,-1,-1,5,6.5,"['*CORNELL', '*RUTGERS']","['*CASE WESTERN', '*BOSTON UNIVERSITY']","['*DUKE', '*NORTHEASTERN', '*TUFTS', '*UVA']"
M,WHITE,IL,High,PUBLIC,NONE,CS,-1,1530,-1,5,7.0,"['*PURDUE', '*UMICH', '*UW MADISON', '*ARIZONA STATE']",[],['*UIUC']
M,BLACK,OR,Low,PUBLIC,URM,-1,-1,1450,34,6.5,4.2,"['*HARVARD', '*COLUMBIA', '*CORNELL', '*MIT', '*CALTECH', '*UCHICAGO']",[],"['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*COLUMBIA', '*UPENN']"
F,WHITE,TX,Low,PUBLIC,URM,CS,-1,1420,32,5.5,4.5,"['*CORNELL', '*CMU', '*UT-AUSTIN', '*NORTHEASTERN']",[],"['*HARVARD', '*CALTECH', '*SWARTHMORE']"
NB,WHITE,INTERNATIONAL,Low,PUBLIC,NONE,BIO,-1,-1,-1,5.5,4.5,[],['*WILLIAMS'],['*COLGATE']
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,-1,1430,-1,5.5,7.5,"['*UCLA', '*BERKELEY', '*DUKE', '*UPENN', '*UIUC', '*NORTHEASTERN', '*UNC CHAPEL HILL']",[],"['*BROWN', '*STANFORD', '*COLUMBIA', '*VANDERBILT']"
F,WHITE,MA,Middle,PUBLIC,OTHER,POLISCI,-1,-1,34,6.5,7.5,[],[],"['*YALE', '*BROWN', '*PRINCETON', '*SWARTHMORE', '*VANDERBILT']"
F,BLACK,CA,Low,CHARTER,FIRST-GEN,BIO,-1,-1,-1,1,2.5,"['*BERKELEY', '*UCSB', '*UCD', '*UCSC', '*San Jose State University', '*UCM']",[],[]
F,WHITE,OR,High,PUBLIC,NONE,BIO,-1,-1,27,1,2.5,[],[],[]
M,-1,-1,Low,-1,NONE,CS,-1,-1,36,7.5,0.0,"['*UCLA', '*YALE', '*RICE', '*NYU', '*UMICH', '*EMORY']","['*BROWN', '*NORTHWESTERN', '*WASHU', '*UCHICAGO']","['*STANFORD', '*NORTHWESTERN', '*BERKELEY', '*DUKE', '*UPENN', '*UCHICAGO']"
M,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1,1530,34,3.5,4.2,['*CALTECH'],[],[]
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1,1460,-1,6.5,4.2,"['*UCSD', '*JOHNS HOPKINS', '*POMONA', '*UCSB', '*UCI']",['*UCLA'],"['*CORNELL', '*BERKELEY', '*DUKE', '*CMU', '*USC']"
F,ASIAN,CA,Low,PUBLIC,URM,CS,13,-1,-1,"{'extracurriculars': 5, 'awards': 3.5}",4.5,"['*UCSD', '*POMONA', '*UMICH']",[],"['*UCLA', '*BERKELEY', '*UCSD', '*GEORGIA TECH', '*CMU', '*POMONA', '*UMICH', '*HARVEY MUDD']"
M,HISPANIC,IL,OTHER,PUBLIC,FIRST-GEN,ENG,-1,1390,-1,8.5,2.5,['*CORNELL'],[],"['*COLUMBIA', '*MIT']"
