Gender,Race,Residence,Income Bracket,Type of School,Hooks,Intended Major(s),GPA (UW/W),Rank (or percentile),# of Honors/AP/IB/Dual Enrollment/etc.,Senior Year Course Load,SAT,ACT,AP,Extra Curriculars,Awards,Letters of rec,Interviews,Essays,Acceptances,Waitlists,Rejections,Nationality
Male,White Latino (Born in Mexico),Texas,,,"Immigrant, Legacy",Aviation / Professional Flight,3.2 UW / 3.3 W,,"AP Spanish, Dual Enrollment English","Algebraic Quantitative Reasoning, DC English, Government, Economics, Baseball, Some random science class",1250,,AP Spanish (5),"['Baseball for 4 years (Varsity 2)', 'YoungLife', 'Spanish Honor Society (Kicked out)']",,,,,"['Louisiana Tech ($100K)', 'Kansas State', 'Oklahoma State', 'Auburn', 'PURDUE (Committed!!)']",[],[],
,,,,Private High School,,Computer Science,"3.97 UW, 4.56 W",4/180,,,Test Optional,,,"['Marching Band 4 Years (Drum Captain 2 Years)', 'School’s KIWIN’s President', 'NHS + CSF', 'Senior Wellness Club Founder', 'AP Computer Science A Tutor']","['Gold Honor Roll (10% of Class)', 'AP Scholar w Honor']",,,,"['USF 4+1 (EA) + 140k', 'SJSU', 'UCR w/ Honors + 25k', 'UCSC w/ Honors & Regents', 'Santa Clara (EA) + 90k', 'SDSU', 'CSULB', 'USD w/ Honors + Half Tuition', 'Colgate University', 'Cal Poly Slo', 'UCSD', 'NYU', 'UCI', 'USC (CS/BA) (Deferred -> Rejected -> Accepted off Appeal!!) Committed']","['Berkeley', 'UCSB', 'WashU']","['UCLA', 'Stanford']",
Male,Latino (Mexican),Chicago,500k+,"Competitive Magnet, 500/class","URM, first-gen (for hs too)",cs or math or both,"4.0, no weighted","graduated top 10, don't know which place",14 APs,"AP US Gov, AP Comp Gov, AP Calc AB (lol), AP Physics C: Mech, AP Physics C: E&M, AP 3D Art, AP Lit, Intermediate CS class, also TA for AP CSP","1520 (790M, 730R)",,,"['Powerlifting - Started a team at my school for powerlifting during my Sophomore year. Got a lot of people into the sport and created a successful team. We went to nationals twice. Individually I am ranked pretty top 10 nationally in my weight class. Also offer coaching services online.', 'Job - Been working at my parents restaurant since I was in 7th grade. I basically spend my entire weekends there. Over time I have learned the ins and outs of the place and I can manage the front of house by myself. Really improved my social and problem-solving skills.', ""MITES Semester - Did this 'prestigious' summer program. Was not that interesting but took two classes through MIT and got to interview a professor for my science writing article."", 'TA for head of CS Dept. - I grade papers and make resources like posters and slideshows for the class. I also made a website for my club 1st quarter, did leetcode 2nd quarter, soldered some projects 3rd quarter, basically nothing 4th quarter', 'DJing - I just do this for fun. I make mixes in my room and I have played a couple of gigs for free.', 'Physics Team - We would just do physics problems. We did F=ma two years but no one qualified.']","['Powerlifting stuff (redacted regional and state placings, top 10 at hs nationals junior year (USAPL))', 'Seal of Biliteracy', ""Principal's Scholar all 8 semesters (glorified honor roll)""]","[""My recommenders all liked me but I'm sure the letters were nothing crazy. I did not choose anyone who overlooked the powerlifting team but got my coach from outside of school to write a letter for schools that would take it.""]","MIT: Rly good, talked for over an hour at a coffee shop. Talked about how the powerlifting community was very close-knit and I basically knew everyone bc I'm very social, then on the way out I saw someone I knew from powerlifting and dapped them up. I told my interviewer about the interaction in my thank you note, in case he didn't hear it.","Personal statement was about my powerlifting journey, which started with helping me get over health issues to me helping others improve their quality of life. Also showed my leadership and social skills in personal statement. MIT essays were good, did RD instead of EA to really work on them (btw it doesn't matter if you apply EA or RD for MIT, they tell you in the MITES webinars). Also my FUN form (February updates) was fire imo. Wrote about how I was starting to play lacrosse and was currently soldering an LED heart for my gf at the time.","['MIT RD + committed', 'UIUC pure CS EA + stamps scholarship', 'Northwestern RD', 'UMich EA', 'UW Madison EA', 'BU RD', ""IU Kelley RD (don't ask lol)"", 'Penn State rolling']",['Columbia RD'],['Harvard RD'],
Male,Caucasian,Southern California,Middle Class,Public,N/A,Data Science or Computer Science,3.9/4.4,N/A,"2 APs, 7 IBs",5 IB Courses + 1 AP Course,,35,"AP CS Principles (5), IB Math AA SL (5), IB Environmental Systems & Societies SL (4)","['Research for a local water pollution project', 'Local volunteering for youth sports league', 'Worked a couple of small time jobs', 'Attended a Summer Institute at UCLA (2023)', 'Self-Taught Video Editing']","['Global Leadership Scholarship Nominee', 'IB Diploma Candidate']","['Math Teacher (7/10)', 'English Teacher (8/10)', 'Counselor (5/10)']","['Princeton (8/10)', 'Dartmouth (5/10)', 'Cornell (N/A)']","['Personal Statement: Wrote about how I was interested in filmmaking and how it transformed my life.', 'UC PIQs: Wrote about my experience volunteering for a youth sports league and how the kids I was coaching really impacted my outlook on life.', 'UC PIQs: Wrote about my experience in the IB Diploma Program - how it shaped my personality and the academic struggles that came along with it.', 'UC PIQs: Wrote about my love for math and statistics - nothing super unique, but really just wanted to express my passion for the subject.', 'UC PIQs: Wrote about my love for filmmaking and how it shaped my life (very similar to my personal statement, just toned down for UC word requirement).']","['University of Arizona (RD)', 'Ohio State University (EA)', 'Florida State University (RD)', 'University of California Santa Cruz (RD)', 'Louisiana State University (RD)', 'University of California Santa Barbara (RD)', 'California State University Long Beach (RD)']","['University of Washington (RD / Didn’t Join)', 'Carnegie Mellon University (RD / Didn’t Join)', 'San Diego State University (RD / Didn’t Join)', 'University of California Davis (RD / Didn’t Join)', 'University of California Los Angeles (RD / Joined / Accepted / Committed)']","['Stanford (REA)', 'Harvard (RD)', 'Princeton (RD)', 'Brown (RD)', 'Columbia (RD)', 'Dartmouth (RD)', 'Cornell (RD)', 'Yale (RD)', 'University of Pennsylvania (RD)', 'Cal Poly San Luis Obispo (RD)', 'Duke (RD)', 'Georgia Tech (EA II)', 'University of California San Diego (RD)', 'University of California Irvine (RD)', 'University of California Berkeley (RD)']",
Male,White,AZ,Upper middle,Highly ranked charter,LGBT?,Applied sociology with a nice in education to most schools,4.0/4.78,School does not rank,12 AP/4 Honors/4 Capstone,4 Capstones,1570,35,"9 5s, 3 4s","['Served as exec board secretary for local county education commission', 'Shift lead at açaí bowl place', 'Taught a STEM class at a free STEM summer camp', 'Cofounded youth education STEM nonprofit', 'Elected senator by 2000+ student constituency for national debate org', 'Elected lieutenant governor for same debate org for AZ region', 'Server at an ice cream shop', 'Principal flute in local youth orchestra', 'Private math tutor/TA for calc teacher', 'Summer intern at immigration law office']","['National merit semi finalist', 'AZ Envirothon best new team, 1st in forestry 2nd in soils divisions', 'Three time convention best speaker in debate org', 'Made regionals on flute', 'AZ Model UN Best Novice/ Runner up best delegate']","['Calc Teacher: ♾️/10', 'Law teacher: 8/10', 'Counselor: Idek']","{'Yale': '5/10', 'Dartmouth': '17/10', 'Harvard': '10/10', 'Princeton': '7/10', 'Bowdoin Video': '10/10', 'UChicago/Brown': '5/10'}","Personal statement was my finest work tbh, connected experience as being gay with passion for educational equity, made my counselor tear up, supplementals were probably ranging from a 6/10-9/10","['Dartmouth College RD with a prestigious mathematics merit scholarship', 'Williams College RD', 'Amherst College RD', 'Boston University RD with the full tuition trustee scholarship', 'Georgetown RD with small 4k/year merit aid', 'Bowdoin RD with Faculty scholarship', 'Tufts RD with 20k/year merit aid', 'Wesleyan RD', 'Fordham RD with full tuition and honors program', 'URochester RD with 40k/year merit aid', 'UArizona RD with 18k/year merit aid and honors program']","['UChicago RD (denied offer)', 'Colby RD (denied offer)']","['Brown RD', 'Yale SCEA->RD', 'Harvard RD', 'UPenn RD', 'Stanford RD', 'Columbia RD', 'Princeton RD']",
Male,White,California 2y /Virginia 2y,under 100k,Public,"Athlete, first-gen, military dependant, five high schools, and homeless",Neuroscience,"3.97 uw, W 4.48",8/348,11 APs and rest honors,5 APs,1400,,"2 fives, 1 four, and 3 threes","['Scholastic Bowl Virginia High School league', ""Virginia's Summer Residential Governor's Schools of math, science, and technology"", 'Track and Field outdoor', 'Cross-country', 'Boy Scouts of America', 'Key Club', 'Work', 'Indoor track']","['The Virginia Summer Governor’s Schools Certificate of Commendation', 'AP Scholar with Distinction', 'athlete scholar award', 'Academic team ranked 3rd in region', 'Honor roll']","['Math teacher: 8/10', 'History teacher: 6/10']",Washington and Lee: 7/10,10/10,"['Old Dominion University', 'Eastern Mennonite University', 'Virginia Commonwealth University', 'Miami University', 'Washington College', 'Virginia Tech', 'University of Rochester', 'Hampden–Sydney College', 'College of William & Mary', 'University of Richmond', 'University of Virginia', 'Washington and Lee University']","['Davidson College', 'Vanderbilt University']","['Emory University', 'Johns Hopkins University', 'Duke University']",
Male,White,Michigan-4y,300k+,Public,award-winning in chem olympiad and high AP scores,Chemical Engineering & Chemistry (Dual Major),"3.98 (UW), 4.48 (W)",2/476,,"['AP Stats', 'AP Biology', 'APES', 'AP Physics 2', 'AP Lit', 'Chemistry (Independent Study)', 'Linear Algebra (DE)', 'Calc III (DE)']","1470 (690RW, 780M)",,"['World History (5)', 'Computer Science A (5)', 'Chem (5)', 'Physics 1 (4)', 'U.S. Gov (5)', 'English Language (5)', 'Calc BC (5)']","[{'Position': 'Club President', 'Activity': 'Cyber Club', 'Details': '4 hr/wk 37wk/yr (11th and 12th), Organized weekly meetings and helped teach members about cybersecurity and computer networking'}, {'Position': 'Treasurer/Executive Board Member', 'Activity': 'Model UN', 'Details': '4 hr/wk, 37 wk/yr (11th and 12th), Help plan weekly meeting, collect payments for conferences, Medsec V Second Highest Honors, Chaired at Semmuna'}, {'Position': 'Committee Chair', 'Activity': 'NHS', 'Details': '6 hr/wk, 52 wk/yr (12th), Organized weekly meetings for a committee focused on giving back to the community through small acts like refilling little free libraries, volunteering at downtown events, and running events to support local businesses'}, {'Position': 'Manager', 'Activity': ""Jimmy John's"", 'Details': '20 hr/wk, 52 wk/yr (11th and 12th), Manage staff, ensure food quality, manage some parts of inventory, ensure correct counts in registers and safe, prep food, maintain store cleanliness, and ensure an efficient close'}, {'Position': 'Player', 'Activity': 'Club Soccer', 'Details': '5 hr/wk, 52 wk/yr (9th, 10th, 11th, and 12th), Division Champions Spring 2023'}, {'Position': 'Mentor', 'Activity': 'Freshman School Spirit Program', 'Details': 'Helped incoming freshmen get settled in and find their way in their new school'}]","['AP Scholar with Distinction - 11th', 'Honorable Mention - USNCO Detroit Local Section Exam - 11th', 'MedSec V - Second Highest Honors within Committee - 11th', 'National Honor Society - 12th', 'Academic Honors - 9th, 10th, 11th']","[{'Teacher': 'AP Chemistry / Chemistry Independent Study Teacher', 'Rating': '9/10'}, {'Teacher': 'Debate / AP English Language Teacher', 'Rating': '?/10'}, {'Teacher': 'AP Calculus BC Teacher', 'Rating': '7/10'}, {'Teacher': 'French II Teacher', 'Rating': '10/10'}]","[{'School': 'Princeton', 'Rating': '4/10'}, {'School': 'Cornell', 'Rating': '10/10'}]","My essay was on the topic of the flow of knowledge, lessons, and mentorship within a high school environment. I reflected on my experience coming out of COVID. The rest of my school had been in-person for a semester while I had been online for the first semester. Because of this, I was socially 'behind' and had to form a lot of new connections. Although I had formed plenty of connections by the beginning of my sophomore year, I continued to struggle to create a sense of identity in the social context of high school, but a senior and his friends in my debate class kind of 'took me in' and mentored me as far as what I should do to be successful in my classes and how to maintain a balance. I didn't know until about a week later, but that student was that class's valedictorian and he had essentially given me all of his advice about what he thinks he did right and all of his regrets in high school, how he would have changed his classes, etc. Beyond academics, though, he taught me how to be a leader. Beyond being val, he was class VP, President of NHS, varsity captain for two sports, among other things. I began to put his words into actions and, along the way, made some modifications. From his advice, over the course of the next two years, I would experience leadership firsthand and would pass that on to my peers in the class of 2026 and 2027. Ultimately, the theme of my essay was about how interaction with your peers and creating communities within a school creates opportunities for well-wishing seniors to pass on their experiences to underclassmen and how it generates a self-sustaining culture of kindness and caring. Finally, I tied this into how I would contribute to a college campus and how my involvement in student groups could create these 'sub-communities' and, within those, maintain a similar culture of kindness.","['University of Michigan (EA) - Committed', 'Cornell University (RD)', 'Georgia Institute of Technology (EA)', 'Michigan Technological University (RD)', 'Purdue University (EA)', 'Rensselaer Polytechnic Institute (EA) Deferred -> Accepted RD', 'Rochester Institute of Technology (RD)', 'Rose-Hulman Institute of Technology (EA)', 'University of Toledo (Rolling Admission) (Accepted to Honors College)', 'University of Illinois Urbana-Champaign (EA)', 'Western Michigan University (EA)']",['Rice University (RD) Declined Waitlist Offer'],"['Princeton University (RD)', 'Stanford University (RD)', 'The University of Texas at Austin (RD)']",
Male,Asian (Chinese),NYC,"$20,000-$30,000",Public,,"Bioengineering, Med, Psych, Sociology",close to a 3.8 maybe a 4,N/A (we don't do rank),"5 APs, 3 CollegeNow Courses, rest honors",2 APs,1430,35,"Two 4's, 1 two, 2 unknown","['MSIT Boys Varsity Fencing', 'Key Club Member', ""Youth4AM Teacher's Assistant""]",['ABRSM Piano Grade 8'],"['APUSH Teacher loves me for participating all the time and according to him I seem to make the class more awake.', 'AP Bio might have mixed since I sometimes pay attention but I do contribute to discussions.', 'Sophomore year English Teacher loved me during second semester.', 'Fencing Coach mostly positive because of my attitude shift throughout learning it']",,My essay was about learning the cello and I talked about how I learned a lot while learning how to play something I lied about knowing how to play.,"['Binghamton University (EA) - Accepted; $12k Scholarship', ""Buffalo State (EA) - Accepted; Didn't send FAFSA"", 'StonyBrook University (EA) - Accepted; $11,043 aid + scholarship', 'Hunter College (EA) - Accepted; No FAFSA', 'UPitt Pittsburgh (EA) - Accepted; $39k Aid', 'University at Buffalo (EA) - Accepted; $22,240 aid + scholarship', ""Rutgers New Brunswick (EA) - Accepted; Can't access aid (forgot to make account)"", 'RIT (EA) - Accepted (Combined BS/MS); $92k aid + scholarship', 'Wagner (EA) - Accepted; $45,560 aid', 'Boston University (RD) - Accepted; $43.2k/semester aid']","['Northeastern University (RD) - Waitlisted', 'URochester (RD) - Waitlisted', 'Carnegie Mellon University (RD) - Waitlisted']","['MIT (RD) - Rejected', 'UChicago (RD) - Rejected', 'Johns Hopkins University (RD) - Rejected', 'NYU (RD) - Rejected', 'Columbia (RD) - Rejected', 'Duke (RD) - Rejected', 'UPenn (RD) - Rejected', ""Georgia Institute of Technology (RD) - Transfer Option for Fall '25""]",
Male,Wasian,Westchester NY,"Rich, but not Rockefeller descendant rich",somewhat competitive public,none,"Math (Engineering for NYU and Bing, anthropology at cornell and UCB, evolutionary anthropology at Duke)","3.90 UW, 4.20 W",N/A,"12 APs, 8 honors","Physics Honors, AP CSA, AP Bio, AP Lit, AP Macro/Micro, AP Spanish, Sci Re","1570 (770RW, 800M)",,,"['Math Club Founder 11th-12th grade', 'REDACTED research at big institution (small time commitment 40 hours total) 12th grade summer', ""REDACTED research at big institution (250 hours over the summer) 11-12th grade (wrote paper that didn't go anywhere)"", 'Varsity Fencing Captain 11-12th grade', 'Vice President QuizBowl 12th grade member for all other years', ""Cardiac Electrophysiology Research Intern at T30 10th Grade (didn't amount into anything)"", 'Trombone Section Leader 10-12th grade', 'Peer Leader, local nature Center (150 hours of community service total) 10-12th grade', 'Varsity substitute Tennis JV for 9-10th', 'NHS/Pianist (I did NHS for some, Piano for others)']","['Statewide Piano Award (played with some julliard dudes)', 'ap scholar with distinction', 'honor roll', 'Very Small math award', 'some other filler']","[""Counselor rec: ?/10, she's new to the school and I don't know her very well. It's a small school, so maybe it was a bit personal nonetheless"", ""Science Research teacher 6/10: She's known for writing good recs, but I wasn't her favorite student"", ""AP Calc BC teacher 8/10: Helped me run the math club and I like her a lot. However, we aren't close friends like some other students are with their teachers. I've had her every year since 8th grade""]",,5/10,"['Bing EA accepted +FRI+Scholars+5k per year scholarship', 'SBU EA accepted + 8k per year scholarship', 'UCI RD accepted', 'UCSD RD accepted', 'UCSB RD accepted (chancellors thing)', 'UCD RD accepted', 'Purdue RD accepted, I clicked Indianapolis campus :/. FRUCK!!!!!', 'NYU RD accepted', 'Washu ED2 waitlisted -> accepted', 'UCLA RD waitlisted -> accepted']","['GAtech waitlisted', ""CWRU EA Deferred -> waitlisted with 30k per year scholarship wtf???? (I forgot to submit my teacher recs lol. I wouldn't have gone anyway) I ended up getting accepted despite selecting the option that was like “would like to remain on waitlist, but not my top choice”"", 'Washu ED2 waitlisted -> accepted', 'UCLA RD waitlisted -> accepted']","['Cornell ED1 Deferred ->rejected', 'UMich EA Deferred ->rejected', 'UVA EA Rejected', 'UNC EA rejected', 'UCB RD rejected', 'Vanderbilt RD rejected', 'Duke RD rejected', 'CMU RD rejected', 'Rice RD rejected', 'UPenn RD rejected', 'Notre Dame RD rejected']",
Female,White,TX,<$60k,Public,Low income?,Business,around a 3.7UW/4.2W,N/A,"11 APs, most of the rest were honors","AP Stats, APES, AP Gov, AP Micro, AP Lit, French V, APHUG, random electives",,"34 (35E, 31M, 36R, 33S)",1 5 and 3 4s,"['Part time job as cashier', 'Graphic designer for non profit', 'Blogwriter for youth led business organization', 'Officer of National French Honor Society', 'Depop sales', 'Paid internship of finance department of a city department', 'Finance director of the same non profit as #2', 'Officer of a volunteer club at school', 'Food pantry volunteer', 'Graphic design Instagram']","['AP Scholar', 'NHS', 'NFHS', 'Essay Award']","['Physics teacher: 6/10, generic but she liked me', 'AP Lang teacher: 8/10, she liked me and I did good in her class', 'Internship manager: 8/10, he let me read it and I thought it was pretty good', 'Counselor: 5/10, Generic for sure since he has a lot of students to write recs for', 'Volunteering Head: 7/10, she let me read it and I thought it was sweet']",,"CommonApp: I thought I did good, I wrote about a unique situation about growing up. I had quite a few people look over them. Supplementals: Some were really bad. Some were really good. I just had one friend look over them.","['IU (Kelley) (+ honors college, 10k/yr scholarship)', 'UMD College Park (Smith) (+ Carillion Communities, $17k/yr scholarship)', 'GWU (+ 22k/yr scholarship)', 'Tulane University (+ 16k/yr scholarship)', 'UT Austin (McCombs)', 'Cornell University (Nolan)']","['University of Washington Seattle', 'University of Pittsburgh']","['University of Notre Dame', 'NYU']",
Male,Asian,Socal,Lower Middle Class/Lower Class,Art/Charter School,None,Undecided,4.0/4.67,School doesn't do rankings,"9 APs, 6 Honors, 8 Dual Enrollment","AP Gov, AP Calc BC, AP Physics 1, AP 2D Portfolio, Honors Lit, College Art Portfolio Prep, Spanish 3, Art (photography & graphic design)",1440,,"AP 2D Portfolio (5), AP Art History (4), AP World History (4)","['Brevard Music Center 2023 (concerto competition finalist)', 'USC Exploration of Architecture Summer 2021 (college credit)', 'Curtis Summerfest 2020', 'Piano Competitions (Music Center Spotlight Semifinalist (2 years); MTAC Junior Bach Festival, Complete Works Audition, 1st Place; Brevard Music Center Concerto Competition Finalist)', 'Violin Competitions (From the Top, Finalist; MTAC, Certificate of Merit, State Honors and Masterclass; Youth Orchestra Concerto Competition Winner)', 'Youth Orchestra (8 year member, 3 hours per week, concertmaster)', 'School Merchandise Designer (3 tshirt designs, fundraising for school, and school planner design)', 'Architecture Internship', ""Commissions (place card writing for hs principal's daughter's bat mitzvah, lettering for hs senior class of '22 grad certificates)""]","['Junior Honor Guard (school selects ~10 juniors for good grades)', 'AP Scholar with Distinction', 'Silver Keys for Poetry (1), and Drawing & Illustration (3), Scholastic Art & Writing Awards', 'Gold Keys for Mixed Media and Photography, Scholastic Art & Writing Awards', 'Top 25 Candidates, Finalist, Virginia B. Ball Creative Writing Scholarship (Interlochen Center for the Arts)']","['English Teacher (7/10)', 'Math Teacher (5/10)', 'Counselor (3/10)']","Interviewed for UPenn, Northwestern, and one more school I forgot. They went alright; not stellar, but definitely not terrible.","I had a counselor for my common app, and a different one for my other school-specific essays. I invested a lot of time into my essays, but having a counselor definitely helped a lot. I ended up repurposing a lot of essays across art/music schools because they asked similar questions.","['Brown-RISD Dual Degree Program (RD, committed)', 'Brown University (RD)', 'Cornell Architecture (RD)', 'USC Architecture (RD)', 'Northwestern Music (RD)', 'UMich Music (RD, sent in videos instead of live audition)', 'The New School, Parsons Illustration (RD)', 'RISD (RD, came out b4 dual degree decision)', 'Cal State Fullerton Art (RD)', 'Cal Poly San Luis Obispo Architecture (RD)']","['Juilliard (rejected)', ""Carnegie Mellon Design (didn't join the waitlist)""]","['Columbia Architecture (RD)', 'Columbia-Juilliard Program (RD)', 'UPenn Design (RD)', 'Curtis Institute Music (RD, after first live audition)', 'New England Conservatory of Music (RD, prescreen round)', 'Northeastern Design (EA)']",
Female,White/Hispanic (Puerto Rican),"Suburban, OH",Upper Class,Private,None,Literature,NA - school doesn't have grades or tests,NA,NA - school doesn't offer any of those,"Calculus, Museums, Filmmaking, Writing, Analyzing culture and society",,34,,"['Author of book published by subsidiary of penguin random house. grades 10, 11, 12 Year 6 hr/wk, 45 wk/yr', 'Extemporaneous Captain(12)/Debater Speech and Debate Team. grades 9, 10, 11, 12, 18 hr/wk, 28 wk/yr', 'Founder/Editor in Chief, Annual literary magazine. grades 10, 11, 12. 2.5 hr/wk, 36 wk/yr', 'Leadership Board Member/Volunteer of local chapter of national org. Raised 10k for walkathon. grades 9, 10, 11, 12 - 4 hr/wk, 36 wk/yr', 'Varsity Golf- grades 9, 10, 11, 12, 18 hr/wk, 8 wk/yr', 'Homestay Participant, CIEE Seville Honors Program - summer before 12th, 112 hr/wk, 4 wk/yr', 'Creator/editor of yt channel - grades 10, 11, 12, 2 hr/wk, 26 wk/yr', 'Teen Board President of local chapter of national org (different one) - raised 20k, grades 9, 10, 11, 12  1 hr/wk, 36 wk/yr', 'Pianist - Qualified to compete in the international competition American Protege, and played at Carnegie Hall five times. grades 9, 10, 11, 12, 2 hr/wk, 36 wk/yr']",,"['Advisor/English teacher: 7.5/10', 'Math Teacher: 6.5/10', 'Speech and Debate Coach: 10/10']",Only interview was at Northwestern and it went perfectly. Guy even said I was a great fit. 10/10,Spent five months reviewing and reviewing everything - also had essay consultant. I'd say for NU 10/10 and for the rest a solid 8/10,"['ED (Deferred then accepted RD) Northwestern - committed', 'RD Bard (writing portfolio)', 'RD Bates (writing portfolio)', 'RD Bowdoin (writing portfolio)', 'RD Carleton (writing portfolio)', 'RD Fordham (with 25k per year)', 'RD Kenyon (writing portfolio) (with 25k per year)', 'RD Occidental (with 20k per year)', 'RD GW honors (with 25k per year)']","['RD Colby (writing portfolio)', 'RD Grinnell (writing portfolio)', 'RD Hamilton (writing portfolio)', 'RD NYU', 'RD Swarthmore (writing portfolio)']","['RD Columbia (writing portfolio)', 'RD Johns Hopkins', 'RD Williams (writing portfolio)']",
Male,South Asian,Suburban,Upper Middle Class,Public,None,Mathematics,3.96/4.67,School doesn't do,"14 AP Classes by end of senior year, 7 Honors","AP Lit, AP Bio, AP Psych, AP Stats, Honors French 4(Calculus 3 first semester at community college as a night class)","1510 (710 RW, 800 M)",,"HUG(4), WorldH(4), Chem(4), Lang(4), Calc BC(5). Rest were 3's","['HOSA-Secretary: qualified for and attended state(in club all four years)', 'Math Team-State medalist(in club all four years)', 'Boys Varsity Tennis-3 years', 'Chess Team-qualified for and attended state(in club all four years)', 'Hospital Volunteering-1 year', 'Lifeguard/Swim Instructor-2 years(staff of the week 2x)', 'Math Tutor-all four years', 'Cook/Baker-self taught and shared creations on social media', 'Church Volunteer-freshman year', 'Varsity Scholastic Bowl-2 years']","['5th place math team state in team event(freshman)', '7th place math team regionals in individual event(sophmore)', '5th place math team regionals in individual event(junior)', 'AP Scholar with Distinction', 'National Honor Society']","['Math Teacher: 9/10-very close with and was my math team coach and Calc BC teacher', 'Physics Teacher: 8/10-close with and was my chess team coach and Physics C teacher', ""Middle School Advanced Math/English Teacher: 9/10-very close with(used as 'additional recommender')""]",Only interview was Northwestern and could not find any commonalities. Very dry and composed of me asking most of the questions to try and deepen the conversation. (maybe too many): 5/10,Spent at least 3 weeks writing it. Checked and given advice by both AP Lit teacher and Middle School Advanced Class Teacher. Showed growth from overreacting to things in beginning of high school to calmly planning the best course of action when faced with a difficult situation. 8/10,"['EA UIUC In State (6k/year scholarship): Committed', 'EA UW-Madison', 'EA UMich-Ann Arbor', 'EA Case Western(45.5k/year scholarship)']","['EA Georgia Tech(deferred->waitlisted)', 'RD CMU', 'RD UChicago(waitlisted->eventually rejected)', 'RD Emory', 'RD Vanderbilt']","['RD Northwestern(dream school)', 'RD Notre Dame', 'RD WashU', 'RD Johns Hopkins', 'RD Cornell', 'RD Yale']",
Female,Asian/Chinese,South,"Around 30,000",,"First-Gen, Rural/Small Town",Mechanical Engineering,4.0 UW,Top 10%,9 APs + some honors,5 APs,1370,,,"['Part-Time Cashier Job', 'President of Cultural Club', 'Volunteer at Local Museum', 'Social Media Art Account']","['QuestBridge College Prep Scholars + Finalist', 'State Level Summer Program', 'Small Engineering Program', 'Some CollegeBoard awards']","['Foreign language teacher', 'CS teacher']",Encountered QB AO at a college fair,"Strong, personal, reviewed by friends and teachers","['WashU - Matched + Committed', 'Auburn University EA', 'University of Alabama EA', 'University of Georgia EA']",,,
Male,African American,Georgia,Low-income,Public,URM First Gen,"Public Health, Economics",3.69/4.41,,A lot of honors and 10 APs,4 classes + half-day internship - 3 APS,1320,,,"['Medical Assistant - half day', 'Summer Internship at CDC', 'Black student union president for 11th & 12th grade', 'Summer volunteer at a local hospital', 'Bank of America Student Leaders', 'Personal Family Responsibilities', 'Key Vice president', 'NHS']","['State-level competition awards', ""College Board's national African American recognition award"", 'School awards']","['Club sponsor LOR: 9.5/10', 'Teacher LOR: 8-9/10', 'Guidance Counselor LOR: No clue']",,Probably the strongest part of my application. I spent a lot of time tailoring my supplementals for each school and rarely repeated ideas. I liked my essay main essay a lot as well.,"['Georgia State - EA', 'UNC-Chapel Hill - EA', 'USC, Full tuition merit scholarship - EA', 'UMiami Deferred -> Accepted', 'Georgia Tech, Transfer Program - EA', 'Bently University - RD', 'Williams College - RD', 'Amherst College - RD Committed!', 'Hamilton College - RD', 'Wake Forest University - RD', 'Howard University - RD', 'UDub - RD']","['UMich Deferred EA', 'American University - RD', 'Boston University - RD', 'Vanderbilt - RD']","['UGA - EA', 'University of Wisconsin - EA', 'Emory - RD', 'Duke - RD', 'Tufts - RD', 'Haverford College - RD', 'Rochester - RD']",
